Sexo;Edad;Nivel de formación alcanzado;Periodo;Total
Hombres;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;24,91
Hombres;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;23,19
Hombres;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;31,87
Hombres;De 20 a 24 años;Educación superior;2023;20,66
Hombres;De 20 a 24 años;Educación superior;2022;17,41
Hombres;De 20 a 24 años;Educación superior;2021;26,04
Hombres;De 25 a 29 años;Total;2023;14,99
Hombres;De 25 a 29 años;Total;2022;15,96
Hombres;De 25 a 29 años;Total;2021;21,22
Hombres;De 25 a 29 años;Analfabetos;2023;100
Hombres;De 25 a 29 años;Analfabetos;2022;34,9
Hombres;De 25 a 29 años;Analfabetos;2021;5,91
Hombres;De 25 a 29 años;Estudios primarios incompletos;2023;8,04
Hombres;De 25 a 29 años;Estudios primarios incompletos;2022;28,73
Hombres;De 25 a 29 años;Estudios primarios incompletos;2021;20,38
Hombres;De 25 a 29 años;Educación primaria;2023;30,66
Hombres;De 25 a 29 años;Educación primaria;2022;27,98
Hombres;De 25 a 29 años;Educación primaria;2021;36,94
Hombres;De 25 a 29 años;Primera etapa de educación secundaria y similar;2023;20,12
Hombres;De 25 a 29 años;Primera etapa de educación secundaria y similar;2022;19,8
Hombres;De 25 a 29 años;Primera etapa de educación secundaria y similar;2021;28,71
Hombres;De 25 a 29 años;Segunda etapa de educación secundaria, con orientación general;2023;19,51
Hombres;De 25 a 29 años;Segunda etapa de educación secundaria, con orientación general;2022;17,97
Hombres;De 25 a 29 años;Segunda etapa de educación secundaria, con orientación general;2021;19,08
Hombres;De 25 a 29 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;17,4
Hombres;De 25 a 29 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;17,67
Hombres;De 25 a 29 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;24,24
Hombres;De 25 a 29 años;Educación superior;2023;9,83
Hombres;De 25 a 29 años;Educación superior;2022;11,66
Hombres;De 25 a 29 años;Educación superior;2021;15,62
Hombres;De 30 a 44 años;Total;2023;8,73
Hombres;De 30 a 44 años;Total;2022;9,44
Hombres;De 30 a 44 años;Total;2021;11,06
Hombres;De 30 a 44 años;Analfabetos;2023;32,41
Hombres;De 30 a 44 años;Analfabetos;2022;21,19
Hombres;De 30 a 44 años;Analfabetos;2021;27,41
Hombres;De 30 a 44 años;Estudios primarios incompletos;2023;17,17
Hombres;De 30 a 44 años;Estudios primarios incompletos;2022;19,52
Hombres;De 30 a 44 años;Estudios primarios incompletos;2021;24,08
Hombres;De 30 a 44 años;Educación primaria;2023;21,85
Hombres;De 30 a 44 años;Educación primaria;2022;20,14
Hombres;De 30 a 44 años;Educación primaria;2021;22,39
Hombres;De 30 a 44 años;Primera etapa de educación secundaria y similar;2023;11,09
Hombres;De 30 a 44 años;Primera etapa de educación secundaria y similar;2022;13,37
Hombres;De 30 a 44 años;Primera etapa de educación secundaria y similar;2021;15,07
Hombres;De 30 a 44 años;Segunda etapa de educación secundaria, con orientación general;2023;9,1
Hombres;De 30 a 44 años;Segunda etapa de educación secundaria, con orientación general;2022;8,89
Hombres;De 30 a 44 años;Segunda etapa de educación secundaria, con orientación general;2021;11,23
Hombres;De 30 a 44 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;8,67
Hombres;De 30 a 44 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;8,61
Hombres;De 30 a 44 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;9,55
Hombres;De 30 a 44 años;Educación superior;2023;5,24
Hombres;De 30 a 44 años;Educación superior;2022;5,61
Hombres;De 30 a 44 años;Educación superior;2021;7,05
Hombres;De 45 a 54 años;Total;2023;7,54
Hombres;De 45 a 54 años;Total;2022;8,58
Hombres;De 45 a 54 años;Total;2021;9,29
Hombres;De 45 a 54 años;Analfabetos;2023;19,61
Hombres;De 45 a 54 años;Analfabetos;2022;16,99
Hombres;De 45 a 54 años;Analfabetos;2021;15,86
Hombres;De 45 a 54 años;Estudios primarios incompletos;2023;11,92
Hombres;De 45 a 54 años;Estudios primarios incompletos;2022;22,56
Hombres;De 45 a 54 años;Estudios primarios incompletos;2021;22,96
Hombres;De 45 a 54 años;Educación primaria;2023;20,79
Hombres;De 45 a 54 años;Educación primaria;2022;23,83
Hombres;De 45 a 54 años;Educación primaria;2021;19,78
Hombres;De 45 a 54 años;Primera etapa de educación secundaria y similar;2023;10,28
Hombres;De 45 a 54 años;Primera etapa de educación secundaria y similar;2022;11,33
Hombres;De 45 a 54 años;Primera etapa de educación secundaria y similar;2021;12,42
Hombres;De 45 a 54 años;Segunda etapa de educación secundaria, con orientación general;2023;7,01
Hombres;De 45 a 54 años;Segunda etapa de educación secundaria, con orientación general;2022;9,29
Hombres;De 45 a 54 años;Segunda etapa de educación secundaria, con orientación general;2021;9,44
Hombres;De 45 a 54 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;7,9
Hombres;De 45 a 54 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;8,26
Hombres;De 45 a 54 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;8,82
Hombres;De 45 a 54 años;Educación superior;2023;3,75
Hombres;De 45 a 54 años;Educación superior;2022;4,19
Hombres;De 45 a 54 años;Educación superior;2021;5,08
Hombres;55 y más años;Total;2023;9,46
Hombres;55 y más años;Total;2022;9,97
Hombres;55 y más años;Total;2021;11,3
Hombres;55 y más años;Analfabetos;2023;44,29
Hombres;55 y más años;Analfabetos;2022;38,08
Hombres;55 y más años;Analfabetos;2021;30,08
Hombres;55 y más años;Estudios primarios incompletos;2023;23,31
Hombres;55 y más años;Estudios primarios incompletos;2022;22,52
Hombres;55 y más años;Estudios primarios incompletos;2021;32,46
Hombres;55 y más años;Educación primaria;2023;18,76
Hombres;55 y más años;Educación primaria;2022;20,3
Hombres;55 y más años;Educación primaria;2021;21,73
Hombres;55 y más años;Primera etapa de educación secundaria y similar;2023;11,47
Hombres;55 y más años;Primera etapa de educación secundaria y similar;2022;12,01
Hombres;55 y más años;Primera etapa de educación secundaria y similar;2021;13,19
Hombres;55 y más años;Segunda etapa de educación secundaria, con orientación general;2023;9,25
Hombres;55 y más años;Segunda etapa de educación secundaria, con orientación general;2022;9,21
Hombres;55 y más años;Segunda etapa de educación secundaria, con orientación general;2021;11,07
Hombres;55 y más años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;8,55
Hombres;55 y más años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;9,97
Hombres;55 y más años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;13,41
Hombres;55 y más años;Educación superior;2023;5,12
Hombres;55 y más años;Educación superior;2022;5,15
Hombres;55 y más años;Educación superior;2021;5,53
Mujeres;Total;Total;2023;13,8
Mujeres;Total;Total;2022;14,76
Mujeres;Total;Total;2021;16,71
Mujeres;Total;Analfabetos;2023;45,13
Mujeres;Total;Analfabetos;2022;46,73
Mujeres;Total;Analfabetos;2021;53,99
Mujeres;Total;Estudios primarios incompletos;2023;28,15
Mujeres;Total;Estudios primarios incompletos;2022;30,47
Mujeres;Total;Estudios primarios incompletos;2021;34,12
Mujeres;Total;Educación primaria;2023;28,22
Mujeres;Total;Educación primaria;2022;30,55
Mujeres;Total;Educación primaria;2021;30,64
Mujeres;Total;Primera etapa de educación secundaria y similar;2023;20,81
Mujeres;Total;Primera etapa de educación secundaria y similar;2022;22,53
Mujeres;Total;Primera etapa de educación secundaria y similar;2021;25,33
Mujeres;Total;Segunda etapa de educación secundaria, con orientación general;2023;15,63
Mujeres;Total;Segunda etapa de educación secundaria, con orientación general;2022;17,17
Mujeres;Total;Segunda etapa de educación secundaria, con orientación general;2021;19,19
Mujeres;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;15,44
Mujeres;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;16,61
Mujeres;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;18,3
Mujeres;Total;Educación superior;2023;8,48
Mujeres;Total;Educación superior;2022;8,77
Mujeres;Total;Educación superior;2021;10,33
Mujeres;De 16 a 19 años;Total;2023;42,92
Mujeres;De 16 a 19 años;Total;2022;45,92
Mujeres;De 16 a 19 años;Total;2021;51,93
Mujeres;De 16 a 19 años;Analfabetos;2023;..
Mujeres;De 16 a 19 años;Analfabetos;2022;0
Mujeres;De 16 a 19 años;Analfabetos;2021;0
Mujeres;De 16 a 19 años;Estudios primarios incompletos;2023;..
Mujeres;De 16 a 19 años;Estudios primarios incompletos;2022;21,18
Mujeres;De 16 a 19 años;Estudios primarios incompletos;2021;100
Mujeres;De 16 a 19 años;Educación primaria;2023;74,13
Mujeres;De 16 a 19 años;Educación primaria;2022;85,87
Mujeres;De 16 a 19 años;Educación primaria;2021;82,82
Mujeres;De 16 a 19 años;Primera etapa de educación secundaria y similar;2023;43,49
Mujeres;De 16 a 19 años;Primera etapa de educación secundaria y similar;2022;56,24
Mujeres;De 16 a 19 años;Primera etapa de educación secundaria y similar;2021;60,84
Mujeres;De 16 a 19 años;Segunda etapa de educación secundaria, con orientación general;2023;39,12
Mujeres;De 16 a 19 años;Segunda etapa de educación secundaria, con orientación general;2022;32,68
Mujeres;De 16 a 19 años;Segunda etapa de educación secundaria, con orientación general;2021;42,88
Mujeres;De 16 a 19 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;40,7
Mujeres;De 16 a 19 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;36,51
Mujeres;De 16 a 19 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;42,17
Mujeres;De 16 a 19 años;Educación superior;2023;7,49
Mujeres;De 16 a 19 años;Educación superior;2022;26,88
Mujeres;De 16 a 19 años;Educación superior;2021;30,38
Mujeres;De 20 a 24 años;Total;2023;25,51
Mujeres;De 20 a 24 años;Total;2022;27,58
Mujeres;De 20 a 24 años;Total;2021;32,42
Mujeres;De 20 a 24 años;Analfabetos;2023;..
Mujeres;De 20 a 24 años;Analfabetos;2022;0
Mujeres;De 20 a 24 años;Analfabetos;2021;100
Mujeres;De 20 a 24 años;Estudios primarios incompletos;2023;6,94
Mujeres;De 20 a 24 años;Estudios primarios incompletos;2022;22,53
Mujeres;De 20 a 24 años;Estudios primarios incompletos;2021;30,53
Mujeres;De 20 a 24 años;Educación primaria;2023;48,23
Mujeres;De 20 a 24 años;Educación primaria;2022;47,26
Mujeres;De 20 a 24 años;Educación primaria;2021;59,1
